Latitude,Longitude
8.55,112.48
8.55,113.0
8.55,113.52
8.55,114.04
8.55,114.56
8.55,115.08
8.55,115.6
8.55,116.12
8.55,116.64
8.55,117.16
8.55,117.68
8.55,118.2
8.55,118.72
8.55,119.24
8.55,119.76
8.55,120.28
8.55,120.8
8.55,121.32
8.55,121.84
9.0,100.0
9.0,100.52
9.0,101.04
9.0,101.56
9.0,102.08
9.0,102.6
9.0,103.12
9.0,103.64
9.0,104.16
9.0,104.68
9.0,105.2
9.0,105.72
9.0,106.24
9.0,106.76
9.0,107.28
9.0,107.8
9.0,108.32
9.0,108.84
9.0,109.36
9.0,109.88
9.0,110.4
9.0,110.92
9.0,111.44
9.0,111.96
9.0,112.48
9.0,113.0
9.0,113.52
9.0,114.04
9.0,114.56
9.0,115.08
9.0,115.6
9.0,116.12
9.0,116.64
9.0,117.16
9.0,117.68
9.0,118.2
9.0,118.72
9.0,119.24
9.0,119.76
9.0,120.28
9.0,120.8
9.0,121.32
9.0,121.84
9.45,100.0
9.45,100.52
9.45,101.04
9.45,101.56
9.45,102.08
9.45,102.6
9.45,103.12
9.45,103.64
9.45,104.16
9.45,104.68
9.45,105.2
9.45,105.72
9.45,106.24
9.45,106.76
9.45,107.28
9.45,107.8
9.45,108.32
9.45,108.84
9.45,109.36
9.45,109.88
9.45,110.4
9.45,110.92
9.45,111.44
9.45,111.96
9.45,112.48
9.45,113.0
9.45,113.52
9.45,114.04
9.45,114.56
9.45,115.08
9.45,115.6
9.45,116.12
9.45,116.64
9.45,117.16
9.45,117.68
9.45,118.2
9.45,118.72
9.45,119.24
9.45,119.76
9.45,120.28
9.45,120.8
9.45,121.32
9.45,121.84
9.9,100.0
9.9,100.52
9.9,101.04
9.9,101.56
9.9,102.08
9.9,102.6
9.9,103.12
9.9,103.64
9.9,104.16
9.9,104.68
9.9,105.2
9.9,105.72
9.9,106.24
9.9,106.76
9.9,107.28
9.9,107.8
9.9,108.32
9.9,108.84
9.9,109.36
9.9,109.88
9.9,110.4
9.9,110.92
9.9,111.44
9.9,111.96
9.9,112.48
9.9,113.0
9.9,113.52
9.9,114.04
9.9,114.56
9.9,115.08
9.9,115.6
9.9,116.12
9.9,116.64
9.9,117.16
9.9,117.68
9.9,118.2
9.9,118.72
9.9,119.24
9.9,119.76
9.9,120.28
9.9,120.8
9.9,121.32
9.9,121.84
10.35,100.0
10.35,100.52
10.35,101.04
10.35,101.56
10.35,102.08
10.35,102.6
10.35,103.12
10.35,103.64
10.35,104.16
10.35,104.68
10.35,105.2
10.35,105.72
10.35,106.24
10.35,106.76
10.35,107.28
10.35,107.8
10.35,108.32
10.35,108.84
10.35,109.36
10.35,109.88
10.35,110.4
10.35,110.92
10.35,111.44
10.35,111.96
10.35,112.48
10.35,113.0
10.35,113.52
10.35,114.04
10.35,114.56
10.35,115.08
10.35,115.6
10.35,116.12
10.35,116.64
10.35,117.16
10.35,117.68
10.35,118.2
10.35,118.72
10.35,119.24
10.35,119.76
10.35,120.28
10.35,120.8
10.35,121.32
10.35,121.84
10.8,100.0
10.8,100.52
10.8,101.04
10.8,101.56
10.8,102.08
10.8,102.6
10.8,103.12
10.8,103.64
10.8,104.16
10.8,104.68
10.8,105.2
10.8,105.72
10.8,106.24
10.8,106.76
10.8,107.28
10.8,107.8
10.8,108.32
10.8,108.84
10.8,109.36
10.8,109.88
10.8,110.4
10.8,110.92
10.8,111.44
10.8,111.96
10.8,112.48
10.8,113.0
10.8,113.52
10.8,114.04
10.8,114.56
10.8,115.08
10.8,115.6
10.8,116.12
10.8,116.64
10.8,117.16
10.8,117.68
10.8,118.2
10.8,118.72
10.8,119.24
10.8,119.76
10.8,120.28
10.8,120.8
10.8,121.32
10.8,121.84
11.25,100.0
11.25,100.52
11.25,101.04
11.25,101.56
11.25,102.08
11.25,102.6
11.25,103.12
11.25,103.64
11.25,104.16
11.25,104.68
11.25,105.2
11.25,105.72
11.25,106.24
11.25,106.76
11.25,107.28
11.25,107.8
11.25,108.32
11.25,108.84
11.25,109.36
11.25,109.88
11.25,110.4
11.25,110.92
11.25,111.44
11.25,111.96
11.25,112.48
11.25,113.0
11.25,113.52
11.25,114.04
11.25,114.56
11.25,115.08
11.25,115.6
11.25,116.12
11.25,116.64
11.25,117.16
11.25,117.68
11.25,118.2
11.25,118.72
11.25,119.24
11.25,119.76
11.25,120.28
11.25,120.8
11.25,121.32
11.25,121.84
11.7,100.0
11.7,100.52
11.7,101.04
11.7,101.56
11.7,102.08
11.7,102.6
11.7,103.12
11.7,103.64
11.7,104.16
11.7,104.68
11.7,105.2
11.7,105.72
11.7,106.24
11.7,106.76
11.7,107.28
11.7,107.8
11.7,108.32
11.7,108.84
11.7,109.36
11.7,109.88
11.7,110.4
11.7,110.92
11.7,111.44
11.7,111.96
11.7,112.48
11.7,113.0
11.7,113.52
11.7,114.04
11.7,114.56
11.7,115.08
11.7,115.6
11.7,116.12
11.7,116.64
11.7,117.16
11.7,117.68
11.7,118.2
11.7,118.72
11.7,119.24
11.7,119.76
11.7,120.28
11.7,120.8
11.7,121.32
11.7,121.84
12.15,100.0
12.15,100.52
12.15,101.04
12.15,101.56
12.15,102.08
12.15,102.6
12.15,103.12
12.15,103.64
12.15,104.16
12.15,104.68
12.15,105.2
12.15,105.72
12.15,106.24
12.15,106.76
12.15,107.28
12.15,107.8
12.15,108.32
12.15,108.84
12.15,109.36
12.15,109.88
12.15,110.4
12.15,110.92
12.15,111.44
12.15,111.96
12.15,112.48
12.15,113.0
12.15,113.52
12.15,114.04
12.15,114.56
12.15,115.08
12.15,115.6
12.15,116.12
12.15,116.64
12.15,117.16
12.15,117.68
12.15,118.2
12.15,118.72
12.15,119.24
12.15,119.76
12.15,120.28
12.15,120.8
12.15,121.32
12.15,121.84
12.6,100.0
12.6,100.52
12.6,101.04
12.6,101.56
12.6,102.08
12.6,102.6
12.6,103.12
12.6,103.64
12.6,104.16
12.6,104.68
12.6,105.2
12.6,105.72
12.6,106.24
12.6,106.76
12.6,107.28
12.6,107.8
12.6,108.32
12.6,108.84
12.6,109.36
12.6,109.88
12.6,110.4
12.6,110.92
12.6,111.44
12.6,111.96
12.6,112.48
12.6,113.0
12.6,113.52
12.6,114.04
12.6,114.56
12.6,115.08
12.6,115.6
12.6,116.12
12.6,116.64
12.6,117.16
12.6,117.68
12.6,118.2
12.6,118.72
12.6,119.24
12.6,119.76
12.6,120.28
12.6,120.8
12.6,121.32
12.6,121.84
13.05,100.0
13.05,100.52
13.05,101.04
13.05,101.56
13.05,102.08
13.05,102.6
13.05,103.12
13.05,103.64
13.05,104.16
13.05,104.68
13.05,105.2
13.05,105.72
13.05,106.24
13.05,106.76
13.05,107.28
13.05,107.8
13.05,108.32
13.05,108.84
13.05,109.36
13.05,109.88
13.05,110.4
13.05,110.92
13.05,111.44
13.05,111.96
13.05,112.48
13.05,113.0
13.05,113.52
13.05,114.04
13.05,114.56
13.05,115.08
13.05,115.6
13.05,116.12
13.05,116.64
13.05,117.16
13.05,117.68
13.05,118.2
13.05,118.72
13.05,119.24
13.05,119.76
13.05,120.28
13.05,120.8
13.05,121.32
13.05,121.84
13.5,100.0
13.5,100.52
13.5,101.04
13.5,101.56
13.5,102.08
13.5,102.6
13.5,103.12
13.5,103.64
13.5,104.16
13.5,104.68
13.5,105.2
13.5,105.72
13.5,106.24
13.5,106.76
13.5,107.28
13.5,107.8
13.5,108.32
13.5,108.84
13.5,109.36
13.5,109.88
13.5,110.4
13.5,110.92
13.5,111.44
13.5,111.96
13.5,112.48
13.5,113.0
13.5,113.52
13.5,114.04
13.5,114.56
13.5,115.08
13.5,115.6
13.5,116.12
13.5,116.64
13.5,117.16
13.5,117.68
13.5,118.2
13.5,118.72
13.5,119.24
13.5,119.76
13.5,120.28
13.5,120.8
13.5,121.32
13.5,121.84
13.95,100.0
13.95,100.52
13.95,101.04
13.95,101.56
13.95,102.08
13.95,102.6
13.95,103.12
13.95,103.64
13.95,104.16
13.95,104.68
13.95,105.2
13.95,105.72
13.95,106.24
13.95,106.76
13.95,107.28
13.95,107.8
13.95,108.32
13.95,108.84
13.95,109.36
13.95,109.88
13.95,110.4
13.95,110.92
13.95,111.44
13.95,111.96
13.95,112.48
13.95,113.0
13.95,113.52
13.95,114.04
13.95,114.56
13.95,115.08
13.95,115.6
13.95,116.12
13.95,116.64
13.95,117.16
13.95,117.68
13.95,118.2
13.95,118.72
13.95,119.24
13.95,119.76
13.95,120.28
13.95,120.8
13.95,121.32
13.95,121.84
14.4,100.0
14.4,100.52
14.4,101.04
14.4,101.56
14.4,102.08
14.4,102.6
14.4,103.12
14.4,103.64
14.4,104.16
14.4,104.68
14.4,105.2
14.4,105.72
14.4,106.24
14.4,106.76
14.4,107.28
14.4,107.8
14.4,108.32
14.4,108.84
14.4,109.36
14.4,109.88
14.4,110.4
14.4,110.92
14.4,111.44
14.4,111.96
14.4,112.48
14.4,113.0
14.4,113.52
14.4,114.04
14.4,114.56
14.4,115.08
14.4,115.6
14.4,116.12
14.4,116.64
14.4,117.16
14.4,117.68
14.4,118.2
14.4,118.72
14.4,119.24
14.4,119.76
14.4,120.28
14.4,120.8
14.4,121.32
14.4,121.84
14.85,100.0
14.85,100.52
14.85,101.04
14.85,101.56
14.85,102.08
14.85,102.6
14.85,103.12
14.85,103.64
14.85,104.16
14.85,104.68
14.85,105.2
14.85,105.72
14.85,106.24
14.85,106.76
14.85,107.28
14.85,107.8
14.85,108.32
14.85,108.84
14.85,109.36
14.85,109.88
14.85,110.4
14.85,110.92
14.85,111.44
14.85,111.96
14.85,112.48
14.85,113.0
14.85,113.52
14.85,114.04
14.85,114.56
14.85,115.08
14.85,115.6
14.85,116.12
14.85,116.64
14.85,117.16
14.85,117.68
14.85,118.2
14.85,118.72
14.85,119.24
14.85,119.76
14.85,120.28
14.85,120.8
14.85,121.32
14.85,121.84
15.3,100.0
15.3,100.52
15.3,101.04
15.3,101.56
15.3,102.08
15.3,102.6
15.3,103.12
15.3,103.64
15.3,104.16
15.3,104.68
15.3,105.2
15.3,105.72
15.3,106.24
15.3,106.76
15.3,107.28
15.3,107.8
15.3,108.32
15.3,108.84
15.3,109.36
15.3,109.88
15.3,110.4
15.3,110.92
15.3,111.44
15.3,111.96
15.3,112.48
15.3,113.0
15.3,113.52
15.3,114.04
15.3,114.56
15.3,115.08
15.3,115.6
15.3,116.12
15.3,116.64
15.3,117.16
15.3,117.68
15.3,118.2
15.3,118.72
15.3,119.24
15.3,119.76
15.3,120.28
15.3,120.8
15.3,121.32
15.3,121.84
15.75,100.0
15.75,100.52
15.75,101.04
15.75,101.56
15.75,102.08
15.75,102.6
15.75,103.12
15.75,103.64
15.75,104.16
15.75,104.68
15.75,105.2
15.75,105.72
15.75,106.24
15.75,106.76
15.75,107.28
15.75,107.8
15.75,108.32
15.75,108.84
15.75,109.36
15.75,109.88
15.75,110.4
15.75,110.92
15.75,111.44
15.75,111.96
15.75,112.48
15.75,113.0
